ID,FechaHora,NombreResponsable,Area,Circuito_Corregido,Estructura_Tag_Corregido,Latitud_Manual,Longitud_Manual,Apoyo_Tipo,Apoyo_Subtipo,Configuracion,Disposicion,ResistenciaPlaca,PesoPlaca,Templete_Observaciones,Aislador_Tipo,Aislador_A,Aislador_B,Aislador_C,DSD,DPS,DPS_A,DPS_B,DPS_C,Seccionador,Reconectador,Linepost,Transformador,PT,CT,Fusible,Mufa,Enrollamiento_Cable,Observaciones_Equipos,Afloramiento,Conectores_Afloramiento,Tuberia_Afloramiento,Cable,SPT_Bajante,SPT_Conexion,SPT_Cantidad,SPT_Estado,Herrajes_Accesorios,Cable_De_Guarda
70,16/10/2025 10:28,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE09,4.432.631,-72.680.768,Poste,Concreto,Pullover (Cruce vertical),,1350,2500,Aislador y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,Sí,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
76,16/10/2025 11:19,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE03,4.432.622,-72.677.954,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,Aisladores y avifauna ,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,No visible por acceso,,Sí
48,16/10/2025 7:42,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE31,4.423.173,-72.690.199,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
49,16/10/2025 7:52,GEOPARK,TIGANA ,TSUR-TSW,TS-TSWE30,4.423.496,-72.689.799,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
50,16/10/2025 8:02,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE29,4.424.077,-72.690.635,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,No
51,16/10/2025 8:10,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE28,4.424.747,-72.690.504,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y 2 templetes con avifauna,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
52,16/10/2025 8:15,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE27,4.425.298,-72.690.033,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aislador y avifauna. Presencia de vegetación,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
53,16/10/2025 8:18,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE26,4.425.333,-72.689.543,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
54,16/10/2025 8:21,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE25,44.257.028,-726.887.323,Poste,Concreto,Suspensión,Triangular,1050,2940,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
55,16/10/2025 8:25,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE24,44.260.292,-726.878.211,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,Sí,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de Guarda y Spark GAP,1,Bueno,,Sí
